OFFER,RETAILER,BRAND,MOST_SIMILAR_CATEGORY
"Butterball, select varieties, spend $10 at Ralphs",RALPHS,BUTTERBALL,Nut Butters & Jam
"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",H-E-B,BEYOND MEAT,Plant-Based Meat
"Butterball, select varieties, Spend $10 at Ruler Foods",RULER FOODS,BUTTERBALL,Nut Butters & Jam
Spend $20 at KFC,KFC,KFC,
Spend $15 at Nekter,NEKTER JUICE BAR,NEKTER,
Order online at Zaxbys.com,ZAXBYS,ZAXBYS,
"Butterball, select varieties, spend $10 at King Soopers",KING SOOPERS,BUTTERBALL,Nut Butters & Jam
Order from Casey's app or Caseys.com,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking
"Tru-Ray® Premium Construction Paper, spend $10",,TRURAY,
"Flonase Allergy Relief, at Walmart",WALMART,FLONASE,Medicines & Treatments
Spend $25 at KFC,KFC,KFC,
"Gorton's Air Fried Butterfly Shrimp, at Walmart",WALMART,GORTONS,Frozen Seafood
"CESAR® Wet Dog Food, spend $20",,CESAR,Dog Supplies
"TWIX®, select sizes",,TWIX,Cookies
"M&M'S® chocolate candies, select varieties",,M&MS,Candy
"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",,HIDDEN VALLEY RANCH,Sauces & Marinades
Spend $210 at Randalls,RANDALLS,RANDALLS,
"Cooked Perfect® Meatballs, at Walmart",WALMART,COOKED PERFECT,Frozen Chicken
Spend $25 at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
"Perfect Keto Barista Blend Collagen & MCTs, online at Amazon",AMAZON,PERFECT KETO,Nuts & Seeds
"Creativity Street®, spend $10",,CREATIVITY STREET,
"Crunchmaster® Crackers, spend $4",,CRUNCHMASTER,Crackers
"Tyson Products, select varieties, spend $20 at Sam's Club",SAMS CLUB,BALL PARK FRANK,Packaged Meat
"L'Oréal Paris Makeup, spend $35 at Target",TARGET,LOREAL PARIS COSMETICS,Makeup
Spend $25 at Subway,SUBWAY,SUBWAY,Cooking & Baking
Any Vons receipt,VONS,VONS,Spirits
"Chosen Foods® Mayo, select varieties",,CHOSEN FOODS,Condiments
"L'Oréal Paris Men Expert hair color, spend $19 at Walmart",WALMART,LOREAL PARIS HAIR COLOR,Hair Care
Spend $185 at Shaws,SHAWS,SHAWS,Cooking & Baking
Spend $150 at Vons,VONS,VONS,Spirits
"Wine from TheBarrelRoom.com, spend $30",GALLO.COM,ALAMOS,Wine
"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,"Cereal, Granola, & Toaster Pastries"
"PepsiCo® Beverage, 7.5-ounce 10 pack, select varieties, at Amazon Storefront*",AMAZON,PEPSI,Carbonated Soft Drinks
"Sara Lee® bread, select varieties, buy 2 at Walmart®",WALMART,SARA LEE,Bread
"Sara Lee® or Alfaros® Artesano bread, buy 5",,ALFAROS,Bread
"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,BAI,Fruit Juices
Spend $5 in-store at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",MARTINS FOODS,KLONDIKE,Frozen Desserts
Spend $25 at Fresh Thyme Market,FRESH THYME MARKET,FRESH THYME MARKET,
Any Albertsons receipt,ALBERTSONS,ALBERTSONS,Candy
Shop 2 times at Albertsons,ALBERTSONS,ALBERTSONS,Candy
Select beverages AND prepared food items at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
QUEEN V® The VIP & The Wingwoman Soft Touch Silicone Vibrator at Walmart,WALMART,QUEEN V,
"Back to the Roots Grow Seed Starting Pots OR Germination Trays, at Walmart or Target",TARGET,BACK TO THE ROOTS,Packaged Meals & Sides
"Dove Hand Wash, select varieties, buy 2 at Target",TARGET,DOVE,Bath & Body
"Frutero Ice Cream, 1 pint",,FRUTERO,Frozen Desserts
Red Gold Tomato Juice,,RED GOLD,Sauces & Marinades
"Bio-Oil® Skincare Oil OR Gel, select varieties",,BIO OIL,Skin Care
Spend $65 at Albertsons,ALBERTSONS,ALBERTSONS,Candy
"Welch's®Fruit Snacks, select varieties, buy 2",,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks
Talenti Mini Bars,,TALENTI,Frozen Desserts
Visit OR order online from Casey's 7 times,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking
"Simply Spiked™ Signature Peach 12-pack or larger, buy 2",,SIMPLY SPIKED,"Hard Seltzers, Sodas, Waters, Lemonades & Teas"
"Molson Coors®, select varieties, 12 pack+",,COORS LIGHT,Beer
"Welch's® Zero Sugar Fruity Bites, 6 pack+, online at Amazon",AMAZON,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks
"PepsiCo® Variety Pack, select varieties, at Amazon Storefront*",AMAZON,PEPSI,Carbonated Soft Drinks
Spend $100 at Vons,VONS,VONS,Spirits
Spend $15 at Subway,SUBWAY,SUBWAY,Cooking & Baking
Spend $35 at Fresh Thyme Market,FRESH THYME,FRESH THYME MARKET,
Sign up for The Club Card or The Club+ Card full-priced membership* (New Members Only),BJS WHOLESALE,BJS WHOLESALE,Cooking & Baking
"Marinela® sweet baked goods, buy 2",,MARINELA,Snack Cakes
"Back to the Roots Soils, select varieties and sizes, at Walmart",WALMART,BACK TO THE ROOTS,Packaged Meals & Sides
"Any General Mills™ products, spend $60",,ANNIES HOMEGROWN,
"Welch's® Fruit Snacks, select varieties, 6 count+, buy 3",,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks
Spend $90 at Tom Thumb,TOM THUMB,TOM THUMB,
Spend $5 on single-serve prepared food items at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
"Coors Light®, Miller Lite® OR VIZZY™ 12 pack+",,VIZZY,"Hard Seltzers, Sodas, Waters, Lemonades & Teas"
"Cooked Perfect® Meatballs, Homestyle OR Turkey, at Walmart",WALMART,COOKED PERFECT,Frozen Chicken
12 Pack OR 2 Liter AND Whole Pizza Pie at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
"General Mills™ products, select brands, spend $7 at Convenience Stores",,ANNIES HOMEGROWN GROCERY,"Cereal, Granola, & Toaster Pastries"
Gillette Venus ® for Pubic Hair & Skin,,GILLETTE VENUS,Hair Removal
"Barilla® Pasta, select varieties, buy 2",,BARILLA,Dry Pasta
Little Bites® Spend $10 at Walmart®,WALMART,ENTENMANNS,Snack Cakes
Envy Apples pre-packed bags,,ENVY,Candy
Shop 2 times at Tom Thumb,TOM THUMB,TOM THUMB,
"Ben & Jerry's Frozen Creme Brulee Non Dairy Dessert, 16 ounce",,BEN AND JERRYS,Frozen Desserts
"Purex® laundry detergent, select varieties, at Walmart",WALMART,PUREX,Laundry Supplies
Whole Pizza at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
Shop 2 times at Safeway,SAFEWAY,SAFEWAY,Candy
"Any General Mills™ products, spend $30",,ANNIES HOMEGROWN,
"Ben & Jerry's® Doggie Desserts, 4 count",,BEN AND JERRYS,Frozen Desserts
Sol® 6 pack+,,SOL CERVEZA,Beer
"George's Farmers Market Chicken Wings, at Sam's Club",SAMS CLUB,GEORGES FARMERS MARKET,
"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",,RAO'S,Frozen Meals
"Sargento Sliced Cheese, spend $25",,SARGENTO,Cheese
"Sargento Sliced Cheese, spend $12",,SARGENTO,Cheese
Country Crock® Plant Based Butter at Walmart,WALMART,COUNTRY CROCK PLANT BUTTER,Nut Butters & Jam
"Perfect Keto Beauty + Sleep Collagen, online at Amazon",AMAZON,PERFECT KETO,Medicines & Treatments
"DOVE® chocolate, select varieties",,DOVE CHOCOLATE,Candy
Simply Spiked™ 12 pack+,,SIMPLY SPIKED,"Hard Seltzers, Sodas, Waters, Lemonades & Teas"
"Perfect Keto Bars, online at Amazon",AMAZON,PERFECT KETO,Nuts & Seeds
"Gillette Venus ® for Pubic Hair & Skin, spend $20",,GILLETTE VENUS,Hair Removal
AleveX™ at Walmart,WALMART,ALEVE,Medicines & Treatments
"Envy Apples, pre-packed bags",,ENVY,Candy
"Ben & Jerry's Frozen Sugar Cookie Dough Chunks, 8 ounce",,BEN AND JERRYS,Frozen Desserts
"L’Oréal Paris Men Expert hair color, spend $9 at Walmart",WALMART,LOREAL PARIS HAIR COLOR,Hair Care
"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",THE GIANT CO,GOOD HUMOR,Frozen Desserts
"Magnum Non-Dairy Hazelnut Crunch Ice Cream Bars, 3 count",,MAGNUM ICE CREAM,Frozen Desserts
"Butterball, select varieties, spend $10 at Fred Meyer",FRED MEYER,BUTTERBALL,Nut Butters & Jam
"Thomas'® Bagel Thins®, buy 2",,THOMAS,Bread
Spend $60 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,Spirits
"Artesano® buns, buy 2 at Walmart®",WALMART,SARA LEE ARTESANO,Bread
"STARBURST®, select sizes, buy 1",,STARBURST,Gum
Fresh Step® Outstretch® Cat Litter,,FRESH STEP,Bath & Body
"Sara Lee® or Alfaros® Artesano bread, spend $8",,ALFAROS,Bread
"Back to the Roots Dry Plant Food, 5 pounds, at The Home Depot",THE HOME DEPOT,BACK TO THE ROOTS,Packaged Meals & Sides
"Burt's Bees Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,BURTS BEES,Skin Care
"Durex® Massage & Play 2 in 1 Pleasure Gel, select varieties, at Walmart or Target",TARGET,DUREX,Medicines & Treatments
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 4",,VIZZY,"Hard Seltzers, Sodas, Waters, Lemonades & Teas"
LIFE SAVERS®,,LIFESAVERS,Candy
"Butterball, select varieties, spend $10 at Kroger",KROGER,BUTTERBALL,Nut Butters & Jam
"RESPAWN® by 5® GUM, at Walmart",WALMART,5 GUM,Gum
"Back to the Roots Garden Soil, 1 cubic foot, at Lowe's Home Improvement",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,Packaged Meals & Sides
"SiO® Beauty Patches, online at Siobeauty.com",SIOBEAUTY.COM,SIO BEAUTY,
Wesson® Oil Products,,WESSON,Cooking & Baking
"Bubbies Pickles, Sauerkraut, and Condiments at Whole Foods or Sprouts",SPROUTS FARMERS MARKET,BUBBIES,Prepared Meals
Michael Angelo's® Sauce at Walmart,WALMART,MICHAEL ANGELO'S,Sauces & Marinades
Spend $155 at Pavilions,PAVILIONS,PAVILIONS,Cooking & Baking
CESAR® Wet Dog Food Singles,,CESAR,Dog Supplies
Spend $90 at ACME,ACME,ACME,Medicines & Treatments
"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",,HIDDEN VALLEY RANCH,Sauces & Marinades
"Sargento® products, select varieties",,SARGENTO,Cheese
"Welch's® Fruit Snacks, 250 count, online at Amazon",AMAZON,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks
"Ben & Jerry's®, select varieties",,BEN AND JERRYS,Frozen Desserts
Simply Spiked™ Signature Peach 12 pack+,,SIMPLY SPIKED,"Hard Seltzers, Sodas, Waters, Lemonades & Teas"
"Beech-Nut snacks, select varieties",,BEECHNUT,Fruit & Vegetable Snacks
"Sargento® products, select varieties, buy 3",,SARGENTO,Cheese
Spend $250 at ACME,ACME,ACME,Medicines & Treatments
Wings OR Cheesy Breadsticks at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
"Butterball, select varieties, spend $10 at Smith's",SMITHS,BUTTERBALL,Nut Butters & Jam
"Perfect Keto Collagen Peptides, online at Amazon",AMAZON,PERFECT KETO,Medicines & Treatments
"Perfect Keto MCT Oil Powder, online at Amazon",AMAZON,PERFECT KETO,Nuts & Seeds
Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,,HELLMANNS BEST FOODS,Condiments
Brita® Pitcher AND Filter,,BRITA,Household Supplies
Spend $90 at Star Market,STAR MARKET,STAR MARKET,Cooking & Baking
"SNICKERS®, select sizes, buy 1",,SNICKERS,Candy
"Kodiak® products, select varieties, spend $10",,KODIAK CAKES FLAPJACK & WAFFLE MIX,"Cereal, Granola, & Toaster Pastries"
Bays® English Muffins,,BAYS,Bread
"Super Coffee, 12 ounce single serve, buy 3",,SUPER COFFEE,Coffee
"Sara Lee® bread select varieties, buy 2",WALMART,SARA LEE,Bread
GOYA® Coconut Water,,GOYA,Fruit Juices
Spend $35 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,Malt Beverages
Spend $110 at Randalls,RANDALLS FOOD MARKETS,RANDALLS,
"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",GIANT FOOD,KLONDIKE,Frozen Desserts
Whole Pizza Pie at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
Shop 2 times at Star Market,STAR MARKET,STAR MARKET,Cooking & Baking
"Hidden Valley® Ranch Seasoning, select varieties",,HIDDEN VALLEY RANCH,Sauces & Marinades
"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,"Cereal, Granola, & Toaster Pastries"
Blue Apron Meal Kits,BLUE APRON,BLUE APRON,Cooking & Baking
"Aleve® products, select varieties, 80 count+ at Walmart",WALMART,ALEVE,Medicines & Treatments
"Welch's® Juicefuls® Juicy Fruit Snacks, 14 count, at Target",TARGET,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks
"Welch's® Fruit Snacks, select varieties, 6 count+, buy 2",,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Bakery
"Arbos Cheese Dip, 12 ounce, buy at Central Market",CENTRAL MARKET,ARBOS,
L'Oréal Paris Excellence Hair Color at Target,TARGET,LOREAL PARIS HAIR COLOR,Hair Care
"Kradle, select varieties, spend $20 at Walmart",WALMART,KRADLE,Dog Supplies
Frozen OR Fountain Drink at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
"Arnold, Brownberry, Oroweat® Keto bread, buy 2",,ARNOLD BROWNBERRY OROWEAT,Bread
Shop 2 times at Shaw's,SHAWS,SHAWS,Cooking & Baking
"Welch's®Fruit Snacks, spend $8",,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks
"Children's Astepro® Allergy, 22 count at Dollar General",DOLLAR GENERAL STORE,ASTEPRO,Medicines & Treatments
Spend $10 in-store at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
"Fresh bakery item, select varieties, at Casey's",CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking
"SNICKERS® chocolate candy bar, select varieties",,SNICKERS,Candy
Rao's® Frozen Pizza,,RAO'S,Frozen Pizza & Pizza Snacks
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,GATORADE,Sports Drinks
"Bimbo® sweet baked goods, buy 2",,BIMBO,Bakery
Any Shaw's receipt,SHAWS,SHAWS,Cooking & Baking
"Gorton's, at select retailers",STOP & SHOP,GORTONS,Frozen Meals
"Butterball, select varieties, spend $10 at Food 4 Less",FOOD4LESS,BUTTERBALL,Nut Butters & Jam
NatuChips® Plantain Chips,,NATUCHIPS,Chips
"Beech-Nut pouches, buy 8",,BEECHNUT,Nuts & Seeds
Spend $45 at Zaxby's,ZAXBYS,ZAXBYS,
"Back to the Roots Raised Bed Gardening Kit with Soil, Seeds and Plant Food, at Target",TARGET,BACK TO THE ROOTS,Packaged Meals & Sides
"Ben & Jerry's®, select varieties, spend $12",,BEN AND JERRYS,Frozen Desserts
Any ACME receipt,ACME,ACME,Medicines & Treatments
Spend $220 at Tom Thumb,TOM THUMB,TOM THUMB,
"Promised Land Dairy Milk, 52-ounce",,PROMISED LAND DAIRY,Milk
"Welch's® Fruit 'n Yogurt® Snacks, 18 count, at Walmart",WALMART,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks
Hidden Valley® Ranch Seasoning Shaker,,HIDDEN VALLEY RANCH,Dips & Salsa
"CORE® Hydration, select varieties, at Walmart",WALMART,CORE HYDRATION,Water
When you join Costco as a Gold Star Member* (New Members Only),COSTCO,COSTCO,
Whole pizza at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
Spend $40 at Farmer Boys,FARMER BOYS,FARMER BOYS,
"Colgate® Toothpaste AND Colgate® Toothbrush, select varieties at Walmart or Target",TARGET,COLGATE TOOTHBRUSHES,Oral Care
"L'Oréal Paris Hair color, select varieties, spend $25 at Target",TARGET,LOREAL PARIS HAIR COLOR,Hair Care
"TWIX®, select varieties",,TWIX,Cookies
Spend $15 at KFC,KFC,KFC,
Spend $275 at Vons,VONS,VONS,Spirits
"EXTRA®, select varieties",,EXTRA,Gum
"Ben & Jerry's® Doggie Desserts, 4 ounce, buy 2",,BEN AND JERRYS,Frozen Desserts
"Klondike Cones, spend $10 at Walmart ",WALMART,KLONDIKE,Frozen Desserts
"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",MARTINS FOODS,GOOD HUMOR,Frozen Desserts
"Beyond Steak™ Plant-Based seared tips, 10 ounce at H-E-B",H-E-B,BEYOND MEAT,Plant-Based Meat
"Kradle, select products, online at Chewy.com",CHEWY,KRADLE,Dog Supplies
Spend $120 at Star Market,STAR MARKET,STAR MARKET,Cooking & Baking
Shop 2 times at Vons,VONS,VONS,Spirits
Wonderworks™ Keto* Friendly Cereal,,WONDERWORKS,"Cereal, Granola, & Toaster Pastries"
"MTN DEW® Kickstart, 16-ounce 12 count, select varieties, at Amazon Storefront*",AMAZON,MOUNTAIN DEW,Carbonated Soft Drinks
When you join Costco as an Executive Member* (New Members Only),COSTCO,COSTCO,
"Adult Astepro® Allergy, 22 count at Dollar General",DOLLAR GENERAL STORE,ASTEPRO,Medicines & Treatments
Shop 2 times at Pavilions,PAVILIONS,PAVILIONS,Cooking & Baking
"SKITTLES®, select varieties",,SKITTLES,Candy
"Stubborn Soda OR Bundaberg Ginger Beer, select varieties, at Amazon Storefront*",AMAZON,STUBBORN SODA,Carbonated Soft Drinks
"BallPark® buns, buy 2",,BALL PARK POP UPS,Bread
12 Pack OR 2 Liter AND Whole Pizza at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
Spend $220 at Star Market,STAR MARKET,STAR MARKET,Cooking & Baking
Frozen OR Fountain Drink at Casey's ,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
Spend $45 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,Malt Beverages
Visit OR order online from Casey's 3 times,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
Spend $210 at Randalls,RANDALLS FOOD MARKETS,RANDALLS,
Visit OR order online from Casey's 5 times,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
Any Tom Thumb receipt,TOM THUMB,TOM THUMB,
"Butterball, select varieties, spend $10 at Fry's Food Store",FRYS FOOD STORE,BUTTERBALL,Nut Butters & Jam
"ORBIT®, select sizes, buy 1",,ORBIT,Gum
12 pack OR 2 liter AND Whole Pizza at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
"Molson Coors®, select varieties, 12 Pack+, buy 2",,TOPO CHICO HARD SELTZER,"Hard Seltzers, Sodas, Waters, Lemonades & Teas"
"Thomas'®, select varieties, spend $10",,THOMAS,Bakery
"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at Target",TARGET,BEYOND MEAT,Plant-Based Meat
Whole Pizza at Casey's ,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
"EXTRA®, select sizes",,EXTRA,Gum
Gorton's at select retailers,STOP & SHOP,GORTONS,Frozen Meals
Brita® Standard OR Elite Filters,,BRITA,Household Supplies
Spend $300 at Shaws,SHAWS,SHAWS,Cooking & Baking
Spend $50 at Fresh Thyme Market,FRESH THYME MARKET,FRESH THYME MARKET,
"Starry™ Lemon Lime Soda multipacks, at Kroger",DILLONS GROCERY,STARRY,Carbonated Soft Drinks
"Barilla® pasta, select varieties, buy 3",,BARILLA,Dry Pasta
"Fresh Bakery Products at Casey's, select varieties",CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 2",,VIZZY,"Hard Seltzers, Sodas, Waters, Lemonades & Teas"
"Kradle, select varieties, online at Amazon",AMAZON,KRADLE,Dog Supplies
"Starry™ Lemon Lime Soda, 7.5-ounce 10 pack, at Amazon Storefront*",AMAZON,STARRY,Carbonated Soft Drinks
"EVOLVE® Plant-Based Protein Shake, 4 count, select varieties, at Whole Foods",WHOLE FOODS MARKET,EVOLVE,Meal Replacement Beverages
"Burt's Bee's® Facial Wipes, select varieties, 30 count at Walmart",WALMART,BURTS BEES,Skin Care
"Aleve® products AND AleveX™, select varieties, at Walmart",WALMART,ALEVE,Medicines & Treatments
"Beyond Meat® Plant-Based products, spend $15",,BEYOND MEAT,Plant-Based Meat
"GOYA® Adobo Seasoning, 8 ounce+",,GOYA,Sauces & Marinades
"Tyson Products, select varieties, spend $15 at Walmart",WALMART,AIDELLS,Packaged Meat
Spend $210 at Safeway,SAFEWAY,SAFEWAY,Candy
Klondike Cones at Walmart ,WALMART,KLONDIKE,Frozen Desserts
Spend $110 at Albertsons,ALBERTSONS,ALBERTSONS,Candy
"Bubbies Pickles, Sauerkraut, OR Condiments at Whole Foods or Sprouts",SPROUTS FARMERS MARKET,BUBBIES,Prepared Meals
"Sara Lee® or Alfaros® Artesano bread, buy 2",,ALFAROS,Bread
"Beyond Meat® Plant-Based products, spend $20",,BEYOND MEAT,Plant-Based Meat
Spend $10 on Casey's branded packaged products,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
Any Randalls receipt,RANDALLS FOOD MARKETS,RANDALLS,
"Arber, at Target",TARGET,ARBER,
"Häagen-Dazs®, 28 ounce, at GROCERY* stores",,HAAGEN DAZS,Frozen Desserts
Spend $130 at ACME,ACME,ACME,Medicines & Treatments
"Spend $110 on a Full-Priced new Plus Membership and receive an ADDITIONAL 10,000 points",SAMS CLUB,SAMS CLUB,
"Butterball, select varieties, spend $10 at QFC",QFC,BUTTERBALL,Nut Butters & Jam
Spend $100 at Pavilions,PAVILIONS,PAVILIONS,Cooking & Baking
"Glad® Trash Bags, 4 OR 8 Gallon",,GLAD,Household Supplies
Tostitos® Toppers™,,TOSTITOS,Dips & Salsa
:ratio™ KETO* Friendly Cereal OR Granola,,RATIO,"Cereal, Granola, & Toaster Pastries"
"Burt's Bees® products, select varieties, at Walmart",WALMART,BURTS BEES,Skin Care
"Bio-Oil® products, select varieties",,BIO OIL,Skin Care
"André® California, Champagne OR Sparkling Wines, 750mL bottle",,ANDRE,Wine
Spend $20 at Farmer Boys,FARMER BOYS,FARMER BOYS,
"Any General Mills™ products, spend $50",,ANNIES HOMEGROWN,
Chosen Foods® Dressings,,CHOSEN FOODS,Dressings
Spend $30 at Dickey's Barbecue Pit,DICKEYS BARBECUE PIT,DICKEYS BARBECUE PIT,
Degree for Men OR Women Dry Spray,,DEGREE,Deodorant & Antiperspirant
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 3",,VIZZY,"Hard Seltzers, Sodas, Waters, Lemonades & Teas"
Back to the Roots Microgreens Grow Kit OR Seed Refill at Walmart,WALMART,BACK TO THE ROOTS,Packaged Meals & Sides
Spend $40 at KFC,KFC,KFC,
"Bai® Antioxidant, 6 pack, at Walmart",WALMART,BAI,Fruit Juices
Spend $20 at Dickey's Barbecue Pit,DICKEYS BARBECUE PIT,DICKEYS BARBECUE PIT,
Spend $25 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,Spirits
"L'Oréal Paris Hair color, select varieties, spend $9 at Target",TARGET,LOREAL PARIS HAIR COLOR,Hair Care
"Sargento Sliced Cheese, spend $18",,SARGENTO,Cheese
"SKITTLES®, select sizes",,SKITTLES,Candy
"LIFESAVERS®, any size, buy 1",,LIFESAVERS,Candy
"L'Oréal Paris Makeup, spend $30 at Target",TARGET,LOREAL PARIS COSMETICS,Makeup
Spend $115 at Tom Thumb,TOM THUMB,TOM THUMB,
Any Randalls receipt,RANDALLS,RANDALLS,
Spend $75 at Randalls,RANDALLS,RANDALLS,
Shop 2 times at Randalls,RANDALLS FOOD MARKETS,RANDALLS,
"GATORADE® Fast Twitch®, 12-ounce single serve",,GATORADE,Sports Drinks
Spend $10 at Nekter,NEKTER JUICE BAR,NEKTER,
"Brownie Brittle® Snacks, select varieties, buy 2",,BROWNIE BRITTLE,Cookies
Cheerios™ Oat Crunch Berry Cereal,,CHEERIOS,"Cereal, Granola, & Toaster Pastries"
Glad® ForceFlex Max Strength Trash Bags,,GLAD,Household Supplies
"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger",DILLONS GROCERY,GATORADE,Sports Drinks
Spend $10 at CVS,CVS,CVS,Fruit Juices
